studentno,studlastname,studmidname,studfirstname,studsuffixname,birthday,age,homeaddress
2006-03457,Ray,Cunningham,Robert,II,11/8/1995,21,6335 Thierer Street
2003-81669,Gonzales,Wheeler,Carolyn,,8/12/1994,22,7 Grayhawk Hill
2009-28364,Anderson,Lawrence,Charles,,7/10/1996,20,77 Mifflin Road
2002-87565,Meyer,Peterson,Alice,,7/23/1993,23,45 Old Shore Plaza
2015-16635,Taylor,Harper,Lori,,9/9/1997,19,263 Stoughton Court
2008-49180,Hunt,Campbell,Johnny,,1/18/1996,20,43 Westport Street
2009-58076,Miller,Sullivan,Betty,,3/28/1993,23,8 Vidon Way
2014-22488,West,Sims,Patricia,III,5/27/1995,21,838 Huxley Point
2015-44168,Garrett,Wells,Jerry,Sr.,4/6/1991,25,62006 Brown Road
2000-24996,Collins,Lynch,Gary,,7/1/1997,19,21496 Lawn Road
2015-47910,Ferguson,Murray,Craig,,1/30/1998,18,7 Orin Parkway
2001-94939,Hughes,Price,Ronald,,12/20/1992,24,045 Grasskamp Lane
2019-55439,Elliott,Hudson,Russell,,9/19/1996,20,4393 Morrow Alley
2000-28886,Kim,Clark,Dorothy,,5/31/1997,19,18 Sage Junction
2002-56049,Gray,Pierce,Diane,,7/31/1991,25,08 Dunning Park
2000-68881,Porter,Dunn,Howard,III,6/13/1995,21,817 Washington Park
2003-85784,Reid,Stone,Daniel,II,3/3/1998,18,63576 Thackeray Pass
2017-87448,Miller,Fuller,Linda,,2/24/1995,21,93 Welch Crossing
2002-43652,Kelly,Harris,Russell,III,12/26/1991,25,2 Bowman Hill
2007-86789,Young,Burke,Henry,,2/18/1998,18,9 Raven Road
2010-47788,Williams,Patterson,Ronald,,5/12/1997,19,9665 Garrison Hill
2016-39174,Crawford,Duncan,Jerry,III,1/18/1990,26,4 Red Cloud Circle
2009-77859,Gonzalez,Berry,Johnny,,5/23/1991,25,011 Gerald Alley
2007-71496,Williams,Burns,Barbara,III,2/3/1990,26,0956 Crescent Oaks Point
2014-15787,Bailey,Hill,Andrea,,2/24/1996,20,8 Farwell Trail
2019-64893,Hunt,,Sandra,,4/1/1995,21,29284 Darwin Terrace
2007-40361,Alexander,Day,Steve,,7/28/1990,26,784 Sheridan Circle
2006-34581,Parker,,Doris,,7/6/1990,26,931 Lakewood Gardens Plaza
2004-63408,Fernandez,Richardson,Carlos,,7/25/1991,25,1667 Coolidge Junction
2000-88086,Reyes,,Karen,,9/13/1997,19,11284 Barby Alley
2015-15034,Morales,Butler,Steve,,12/26/1995,21,430 Mosinee Way
2006-22483,Brown,Torres,Ryan,,8/11/1993,23,6221 Crownhardt Court
2017-03776,Rivera,Morris,Catherine,III,10/18/1991,25,19703 Rowland Road
2019-31885,Hayes,Wallace,Angela,II,1/30/1992,24,51319 Katie Court
2005-00565,Evans,Mccoy,Joseph,,9/30/1993,23,95397 Eastwood Alley
2007-77838,Fuller,Scott,Brian,,1/1/1991,25,8264 Sutteridge Alley
2000-60827,Ruiz,Walker,Paul,Sr.,10/19/1997,19,708 Bowman Place
2017-27284,Martinez,Harvey,Bruce,,11/19/1994,22,24 Quincy Crossing
2001-48318,Porter,Thomas,Stephen,,6/10/1993,23,8 Kedzie Road
2005-55223,Richardson,Oliver,Benjamin,,5/5/1993,23,090 Meadow Valley Park
2004-82311,Hill,Kelly,Kimberly,,10/24/1990,26,9 Spaight Court
2019-27433,Perkins,Young,Louis,,11/25/1994,22,5788 Reinke Junction
2005-62943,Hawkins,Henry,Beverly,,4/21/1992,24,1159 Katie Center
2003-22697,Boyd,Simpson,Evelyn,,5/6/1992,24,4 Mitchell Point
2003-99220,Taylor,,Barbara,III,9/16/1993,23,51 Heffernan Park
2000-71938,Howard,Bradley,Virginia,,5/6/1996,20,474 Morning Crossing
2007-94429,Olson,Reyes,Susan,II,1/6/1996,20,4072 Burrows Center
2016-95913,Foster,Richards,Heather,,4/25/1997,19,375 Mallard Parkway
2008-08459,Howell,Warren,Kathryn,,10/28/1990,26,2754 Clemons Drive
2018-05542,Ward,,Gerald,,11/1/1993,23,07723 Esker Terrace
2002-07212,Larson,Thompson,Thomas,,12/26/1996,20,40 Hovde Pass
2016-18492,Martin,,Sean,,4/29/1994,22,20831 Bluejay Hill
2018-81649,Vasquez,Green,Norma,I,11/28/1997,19,75875 Monterey Avenue
2016-45976,Carroll,Russell,Ryan,,5/23/1991,25,10 Bluestem Terrace
2005-20899,Miller,Vasquez,Pamela,,3/25/1997,19,617 Lakeland Alley
2006-86700,Matthews,Jenkins,Judy,,7/12/1997,19,38 Hoard Trail
2007-76559,Bryant,Miller,Walter,,3/20/1996,20,016 Mallard Junction
2007-70919,Burke,Perry,Russell,,10/10/1994,22,29 Swallow Center
2018-64789,Hawkins,Gray,Charles,,6/24/1991,25,8 Carey Trail
2001-50093,Hart,Payne,Gerald,,8/8/1993,23,37 Merchant Parkway
2014-34026,Schmidt,Grant,Donna,,10/18/1996,20,8901 Russell Parkway
2014-48879,Watkins,Stephens,David,,3/14/1994,22,041 Forest Pass
2003-58870,Henderson,Medina,Rebecca,,4/16/1992,24,4092 Miller Alley
2004-13570,Burns,Sims,Brenda,III,11/27/1990,26,89 Warner Terrace
2007-60552,Frazier,Chapman,Steve,,11/9/1997,19,844 Ronald Regan Road
2007-12123,Snyder,Gutierrez,Gerald,,12/31/1997,19,1324 Prairie Rose Road
2014-34831,Banks,Coleman,Roger,,11/19/1992,24,21 Crest Line Way
2003-69991,Gibson,Riley,Wayne,,8/25/1990,26,7916 Little Fleur Pass
2006-11620,Dunn,Woods,Debra,,4/19/1991,25,21 Fairview Center
2005-57673,Gray,Woods,Janice,III,1/26/1991,25,8231 Longview Hill
2008-04884,Berry,Hayes,Albert,III,12/31/1992,24,37421 High Crossing Terrace
2014-97831,Gonzales,Garrett,Eugene,,1/29/1994,22,1749 Porter Point
2008-88416,Rose,Gibson,Janet,,10/20/1991,25,2451 Milwaukee Alley
2016-47705,Ellis,,Anna,II,8/2/1996,20,0432 Loeprich Court
2000-90030,Williamson,Riley,Jason,Sr.,11/19/1991,25,52 Clemons Park
2000-68439,Miller,Anderson,Louise,,2/1/1994,22,373 Oak Street
2018-12308,Mendoza,Welch,Bobby,,4/17/1990,26,48548 8th Alley
2010-51775,Barnes,Ramirez,Mary,III,8/16/1990,26,50 Killdeer Trail
2003-14479,Vasquez,Morris,Billy,III,2/11/1998,18,74 Farragut Park
2009-24799,Gomez,Brown,Scott,Sr.,9/15/1994,22,6 Katie Pass
2017-24579,Robertson,Stanley,Ann,III,8/6/1993,23,70283 Bunting Terrace
2001-59956,Fuller,,Jason,I,11/16/1995,21,9 Sommers Alley
2019-11666,Patterson,Hamilton,Ralph,,7/26/1990,26,36150 Roxbury Point
2005-25710,Ward,Pierce,Charles,II,2/23/1992,24,37338 8th Way
2004-70030,Cruz,Taylor,Kathy,,8/31/1993,23,989 Northwestern Plaza
2011-31338,Henry,Barnes,Ann,I,5/1/1995,21,821 Granby Street
2002-00111,Coleman,Brown,Eric,,6/12/1995,21,99365 Jana Alley
2007-66521,Austin,Mason,Sarah,Jr.,12/8/1995,21,6277 Main Trail
2015-26443,Martinez,Gutierrez,Bruce,,9/21/1993,23,39535 Myrtle Lane
2018-55623,Bell,,Howard,,9/28/1994,22,36 Basil Point
2014-00105,Ford,Holmes,Gregory,,8/21/1991,25,07852 Forest Dale Place
2019-59761,Lawson,Morgan,Arthur,,7/3/1991,25,04002 Arapahoe Drive
2012-76074,Sullivan,Watkins,Shirley,,10/19/1994,22,79 Upham Lane
2010-06090,Peters,Shaw,Michael,,9/3/1992,24,329 Reindahl Pass
2001-52290,Nguyen,Morris,Jack,,7/24/1991,25,27166 Hoard Trail
2011-99898,Adams,Edwards,Patrick,I,10/13/1994,22,9321 Jackson Drive
2018-29973,Williams,Roberts,Bobby,,4/8/1993,23,85677 Ruskin Way
2006-25451,Young,Diaz,James,,5/30/1993,23,74045 Starling Pass
2009-52631,Daniels,Hicks,Clarence,III,7/2/1995,21,29141 Park Meadow Alley
2001-83582,Ferguson,Gray,Jack,,5/7/1995,21,35844 Melody Parkway
2016-31798,Robertson,Rodriguez,Jimmy,,7/26/1997,19,8 Granby Pass
2001-52805,Snyder,Harper,Cynthia,III,9/12/1991,25,40 Fordem Drive
2000-84877,Lawson,Palmer,Frances,,6/10/1990,26,6 Westerfield Lane
2012-51932,Ramos,Turner,Brenda,,1/10/1997,19,6659 Grayhawk Place
2014-74718,Baker,Pierce,Rose,,9/20/1995,21,9417 Dottie Lane
2009-46120,Larson,Long,Brandon,,11/13/1992,24,631 Ruskin Drive
2017-31850,Kelley,Wagner,Carol,,7/6/1994,22,52046 Bay Plaza
2018-52395,Montgomery,Johnson,Daniel,III,10/15/1990,26,18 Starling Place
2010-49869,Barnes,Montgomery,Raymond,Jr.,8/12/1994,22,9222 Drewry Lane
2013-88835,Schmidt,Graham,Chris,,11/5/1995,21,87 Goodland Point
2015-43174,Patterson,Hill,Julia,,9/24/1991,25,9 Sheridan Trail
2009-79731,Gibson,Medina,Ashley,,8/24/1991,25,8 Truax Center
2016-69235,Hernandez,Jones,Martha,,9/24/1996,20,24769 Becker Way
2012-28688,Jenkins,Russell,Craig,,12/15/1993,23,00823 Blackbird Terrace
2004-55251,Frazier,,Helen,,4/3/1994,22,40 Caliangt Plaza
2005-38508,Rose,Coleman,Patricia,II,8/15/1993,23,08406 Gateway Terrace
2013-02624,Morrison,Reynolds,Howard,,10/18/1992,24,07508 Glendale Street
2008-66263,Howell,Perry,Sara,III,9/22/1994,22,368 Dorton Center
2010-76113,Hamilton,,Sandra,,1/15/1993,23,51081 Leroy Trail
2008-64432,King,Berry,Timothy,,12/8/1993,23,52 Iowa Parkway
2014-18649,Brooks,Wells,Thomas,,11/2/1997,19,7 Merchant Park
2001-02056,Roberts,Webb,Sharon,,11/16/1993,23,008 Golf Center
2019-88659,Frazier,,Philip,,7/5/1992,24,3 Northridge Road
2004-53153,Hawkins,Freeman,Jacqueline,III,12/13/1992,24,8 La Follette Park
2005-44391,Bishop,Fuller,Jesse,II,6/6/1995,21,8 Grover Alley
2005-08343,Martin,Nichols,Brandon,,5/13/1996,20,02 Tomscot Terrace
2005-30337,Nelson,Kennedy,Jessica,II,4/21/1994,22,793 Butterfield Way
2017-15329,Richards,Mcdonald,Jeffrey,III,2/16/1991,25,399 Donald Terrace
2012-85828,Bell,Sullivan,Raymond,,12/31/1991,25,4552 Rutledge Way
2012-95486,Peterson,Larson,Juan,,10/18/1990,26,096 Bonner Avenue
2009-70928,Mccoy,Burns,Chris,,3/24/1993,23,2 Utah Terrace
2019-69681,Myers,Perez,Jesse,I,7/6/1991,25,42025 Garrison Circle
2011-24986,Jordan,Perkins,Karen,,10/1/1994,22,9 Hintze Lane
2016-85817,Morgan,Patterson,Albert,III,9/5/1990,26,03416 Arizona Terrace
2008-16852,Moore,Perry,Jessica,,9/27/1995,21,13 Roth Hill
2001-17145,Stevens,Richardson,Raymond,,8/2/1992,24,6 Gulseth Place
2013-09733,Diaz,Flores,Jack,,2/13/1998,18,097 Union Pass
2014-61682,Graham,Olson,Bonnie,,7/21/1992,24,75 Melvin Place
2004-57696,Ferguson,Woods,George,Sr.,10/10/1994,22,9 Memorial Circle
2016-04145,Reid,Rodriguez,Shirley,,4/22/1990,26,656 Doe Crossing Parkway
2019-34388,Griffin,Evans,Emily,,10/17/1992,24,650 Bunker Hill Terrace
2019-25538,Bishop,Fisher,Gerald,III,10/16/1994,22,5 Dottie Junction
2005-44711,Russell,Wilson,Andrew,,1/23/1992,24,8 Comanche Park
2019-17852,Morris,Banks,Matthew,,5/7/1994,22,16 Roth Court
2000-42668,Jackson,Fox,Jeffrey,III,9/24/1997,19,239 Valley Edge Trail
2002-86082,Day,Frazier,Kathy,III,9/23/1993,23,40245 Ilene Place
2007-79236,Price,Howell,Ashley,III,11/9/1991,25,774 Anthes Street
2000-86166,Wheeler,Weaver,Joan,III,10/3/1997,19,336 Clemons Place
2008-97525,Ellis,Arnold,Lisa,III,1/26/1996,20,33 Grover Way
2010-24394,Davis,Wilson,Sean,,3/27/1990,26,0163 Dahle Circle
2018-20813,Alexander,Williams,Randy,III,7/21/1993,23,1011 Merchant Road
2009-88727,Ray,Foster,Frances,,11/2/1994,22,692 Golden Leaf Hill
2008-07721,Banks,Bennett,Steve,,9/6/1991,25,4453 Hoepker Court
2006-82080,Ortiz,Fox,Patricia,,7/26/1995,21,521 Westend Road
2009-15611,Palmer,Lewis,Margaret,Sr.,10/17/1996,20,66590 Paget Road
2016-84932,Peterson,Spencer,Mark,,2/8/1994,22,6770 Scofield Plaza
2005-72155,Ray,Ryan,Judith,,2/27/1998,18,84 Waxwing Center
2019-24863,Johnson,Ryan,Lawrence,,1/4/1996,20,82 Hagan Parkway
2000-16824,Matthews,,Frank,,3/18/1990,26,99 Colorado Center
2019-40919,Stanley,Little,James,,10/9/1996,20,59 Union Point
2012-41961,Garcia,Wells,Bobby,,2/10/1993,23,1 Oak Trail
2003-66301,Gonzales,Rose,Kathleen,,7/18/1995,21,5974 Holy Cross Lane
2018-97395,Ramos,Wright,Joshua,III,6/4/1991,25,21 Beilfuss Junction
2008-06261,Edwards,Morrison,Jesse,,11/23/1993,23,59 Namekagon Crossing
2019-10175,Ford,Banks,Patrick,III,2/11/1992,24,9923 Clyde Gallagher Lane
2019-28066,Harvey,Martin,Gerald,,2/2/1993,23,27 Chinook Plaza
2001-44443,Ramirez,Larson,Jean,III,4/24/1996,20,618 Scott Road
2014-95189,Roberts,Vasquez,Kelly,,4/11/1996,20,051 Gina Road
2004-28981,Hart,Little,Nicholas,,8/18/1997,19,897 Drewry Road
2005-68062,Boyd,Ramos,Carl,,12/19/1992,24,29 Lukken Parkway
2019-31322,Carpenter,Flores,Marie,,12/22/1996,20,55 Lakewood Drive
2001-57389,Jacobs,Armstrong,Norma,,1/1/1998,18,49135 Dennis Terrace
2016-43161,Scott,,Kathleen,,12/24/1992,24,32 Redwing Parkway
2003-52656,Wells,Graham,Teresa,,10/13/1992,24,2 Roth Way
2001-94317,Brown,Mitchell,Billy,,3/4/1998,18,62 Surrey Avenue
2010-04855,Bishop,Collins,Jean,,1/3/1991,25,42378 Jay Alley
